ISO,Country,2000,2010,2015,2020,2021,2022,2023
ISL,Iceland,0.902,0.935,0.956,0.965,0.967,0.964,0.972
NOR,Norway,0.924,0.947,0.959,0.969,0.969,0.967,0.97
CHE,Switzerland,0.892,0.945,0.957,0.963,0.968,0.966,0.97
DNK,Denmark,0.896,0.92,0.943,0.954,0.958,0.959,0.962
DEU,Germany,0.897,0.936,0.948,0.955,0.958,0.955,0.959
SWE,Sweden,0.912,0.918,0.945,0.951,0.958,0.959,0.959
AUS,Australia,0.897,0.929,0.938,0.95,0.954,0.952,0.958
HKG,Hong Kong,0.839,0.912,0.937,0.95,0.961,0.95,0.955
NLD,Netherlands,0.9,0.925,0.94,0.945,0.951,0.953,0.955
BEL,Belgium,0.894,0.921,0.933,0.939,0.948,0.945,0.951
IRL,Ireland,0.869,0.915,0.931,0.948,0.946,0.947,0.949
FIN,Finland,0.898,0.92,0.938,0.947,0.949,0.946,0.948
SGP,Singapore,0.882,0.932,0.935,0.944,0.948,0.942,0.946
GBR,United Kingdom,0.87,0.921,0.931,0.93,0.941,0.946,0.946
ARE,United Arab Emirates,0.79,0.835,0.857,0.909,0.903,0.921,0.94
CAN,Canada,0.894,0.918,0.932,0.931,0.937,0.935,0.939
LIE,Liechtenstein,0.882,0.914,0.925,0.929,0.933,0.936,0.938
NZL,New Zealand,0.896,0.926,0.934,0.94,0.939,0.933,0.938
USA,United States,0.895,0.919,0.928,0.925,0.921,0.93,0.938
KOR,South Korea,0.83,0.894,0.914,0.928,0.933,0.928,0.937
SVN,Slovenia,0.829,0.896,0.909,0.918,0.924,0.926,0.931
AUT,Austria,0.879,0.912,0.919,0.925,0.93,0.927,0.93
JPN,Japan,0.889,0.907,0.917,0.922,0.922,0.921,0.925
MLT,Malta,0.79,0.867,0.892,0.903,0.914,0.917,0.924
LUX,Luxembourg,0.861,0.909,0.913,0.916,0.918,0.922,0.922
FRA,France,0.852,0.888,0.901,0.909,0.915,0.916,0.92
ISR,Israel,0.839,0.889,0.902,0.912,0.918,0.921,0.919
ESP,Spain,0.833,0.875,0.895,0.901,0.912,0.911,0.918
CZE,Czechia,0.817,0.88,0.9,0.898,0.901,0.911,0.915
ITA,Italy,0.849,0.887,0.889,0.899,0.908,0.905,0.915
SMR,San Marino,0.881,0.905,0.896,0.895,0.903,0.91,0.915
AND,Andorra,0.825,0.87,0.869,0.851,0.871,0.893,0.913
CYP,Cyprus,0.808,0.869,0.882,0.905,0.907,0.908,0.913
GRC,Greece,0.828,0.876,0.888,0.896,0.897,0.897,0.908
POL,Poland,0.801,0.852,0.879,0.88,0.884,0.902,0.906
EST,Estonia,0.793,0.868,0.888,0.901,0.899,0.902,0.905
SAU,Saudi Arabia,0.737,0.801,0.851,0.875,0.878,0.893,0.9
BHR,Bahrain,0.775,0.81,0.868,0.885,0.885,0.902,0.899
LTU,Lithuania,0.778,0.854,0.869,0.888,0.887,0.888,0.895
PRT,Portugal,0.797,0.836,0.857,0.87,0.876,0.883,0.89
HRV,Croatia,0.769,0.831,0.852,0.867,0.876,0.886,0.889
LVA,Latvia,0.764,0.833,0.859,0.879,0.871,0.881,0.889
QAT,Qatar,0.795,0.834,0.86,0.872,0.866,0.883,0.886
SVK,Slovakia,0.774,0.851,0.861,0.867,0.859,0.873,0.88
CHL,Chile,0.771,0.823,0.855,0.856,0.865,0.869,0.878
HUN,Hungary,0.781,0.838,0.847,0.857,0.852,0.867,0.87
ARG,Argentina,0.789,0.844,0.859,0.851,0.847,0.858,0.865
MNE,Montenegro,0.815,0.815,0.839,0.841,0.84,0.853,0.862
URY,Uruguay,0.764,0.796,0.818,0.837,0.837,0.852,0.862
OMN,Oman,0.707,0.804,0.838,0.843,0.834,0.846,0.858
TUR,Türkiye,0.669,0.75,0.821,0.838,0.841,0.853,0.853
KWT,Kuwait,0.778,0.812,0.832,0.837,0.839,0.845,0.852
ATG,Antigua and Barbuda,0.828,0.828,0.839,0.84,0.843,0.848,0.851
SYC,Seychelles,0.758,0.758,0.819,0.853,0.838,0.836,0.848
BGR,Bulgaria,0.733,0.799,0.824,0.826,0.817,0.835,0.845
ROU,Romania,0.73,0.822,0.823,0.832,0.829,0.84,0.845
GEO,Georgia,0.705,0.77,0.807,0.822,0.819,0.838,0.844
KNA,Saint Kitts and Nevis,0.791,0.791,0.83,0.828,0.818,0.829,0.84
PAN,Panama,0.718,0.775,0.803,0.808,0.819,0.835,0.839
BRN,Brunei Darussalam,0.792,0.83,0.839,0.836,0.835,0.825,0.837
KAZ,Kazakhstan,0.692,0.781,0.819,0.826,0.816,0.831,0.837
CRI,Costa Rica,0.72,0.776,0.803,0.819,0.817,0.823,0.833
SRB,Serbia,0.701,0.775,0.802,0.809,0.807,0.826,0.833
RUS,Russian Federation,0.75,0.808,0.833,0.818,0.813,0.826,0.832
BLR,Belarus,0.724,0.803,0.825,0.815,0.817,0.824,0.824
BHS,Bahamas,0.787,0.801,0.807,0.797,0.794,0.818,0.82
MYS,Malaysia,0.733,0.779,0.8,0.81,0.802,0.81,0.819
MKD,North Macedonia,0.686,0.765,0.795,0.783,0.781,0.811,0.815
ARM,Armenia,0.667,0.747,0.777,0.761,0.786,0.801,0.811
BRB,Barbados,0.762,0.797,0.8,0.803,0.803,0.807,0.811
ALB,Albania,0.682,0.769,0.797,0.794,0.794,0.806,0.81
TTO,Trinidad and Tobago,0.714,0.789,0.808,0.8,0.796,0.805,0.807
MUS,Mauritius,0.683,0.755,0.792,0.795,0.789,0.794,0.806
BIH,Bosnia and Herzegovina,0.674,0.725,0.769,0.783,0.783,0.799,0.804
